,Drug,Disease
20972,FLUOROURACIL,cervical squamous cell carcinoma
20973,DEXMEDETOMIDINE,endometrium adenocarcinoma
20975,KETAMINE,endometrium adenocarcinoma
20976,PEGFILGRASTIM,cervical cancer
20984,BEVACIZUMAB,cervical carcinoma
20986,PACLITAXEL,cervical adenocarcinoma
20987,PACLITAXEL,endometrial cancer
20988,GEMCITABINE,cervical cancer
20989,GEMCITABINE,cervical carcinoma
20991,VINBLASTINE,cervical cancer
20994,PACLITAXEL,cervical carcinoma
20996,VINCRISTINE,cervical cancer
20997,FILGRASTIM,endometrial cancer
20999,PACLITAXEL,Uterine Carcinosarcoma
21000,PACLITAXEL,cervical cancer
21005,VINORELBINE,cervical adenocarcinoma
21008,DOCETAXEL,uterine leiomyosarcoma
21012,LETROZOLE,endometrial carcinoma
21018,PACLITAXEL,uterine sarcoma
21019,DOCETAXEL,cervical cancer
21020,GEMCITABINE,uterine leiomyosarcoma
21022,DOXORUBICIN,endometrial cancer
21024,IXABEPILONE,endometrial cancer
21025,FILGRASTIM,uterine leiomyosarcoma
21030,PACLITAXEL,Endometrial Clear Cell Adenocarcinoma
21032,PEGFILGRASTIM,Endometrial Serous Adenocarcinoma
21037,ATEZOLIZUMAB,endometrial cancer
21039,GEMCITABINE,cervical adenocarcinoma
21047,PEGFILGRASTIM,uterine leiomyosarcoma
21051,PACLITAXEL,Endometrial Serous Adenocarcinoma
21068,NICOTINE,cervical cancer
21071,DOXORUBICIN,uterine sarcoma
21092,SELINEXOR,endometrial cancer
21096,PEMBROLIZUMAB,cervical adenocarcinoma
21101,"ESTROGENS, CONJUGATED",endometrial cancer
21112,FILGRASTIM,Endometrial Clear Cell Adenocarcinoma
21120,ATEZOLIZUMAB,cervical carcinoma
21125,FILGRASTIM,Endometrial Serous Adenocarcinoma
21127,METHOTREXATE,cervical cancer
21133,NIMOTUZUMAB,cervical cancer
21137,PEGFILGRASTIM,Endometrial Clear Cell Adenocarcinoma
21148,TOPOTECAN,cervical adenocarcinoma
21152,TOPOTECAN,cervical cancer
21168,FLUOROURACIL,cervical cancer
21171,BEVACIZUMAB,cervical cancer
21174,BEVACIZUMAB,uterine leiomyosarcoma
21185,DOXORUBICIN,Endometrial Clear Cell Adenocarcinoma
21189,PEMBROLIZUMAB,cervical cancer
21196,DOXORUBICIN,Endometrial Serous Adenocarcinoma
21202,TAMOXIFEN,endometrial cancer
21212,DOXORUBICIN,uterine leiomyosarcoma
21214,VALPROIC ACID,cervical cancer
21226,CEMIPLIMAB,cervical cancer
21235,DURVALUMAB,cervical cancer
21244,PACLITAXEL,endometrium adenocarcinoma
21245,OLAPARIB,cervical carcinoma
21246,GEMCITABINE,Uterine Carcinosarcoma
21247,FULVESTRANT,endometrial stromal sarcoma
21248,SORAFENIB,Uterine Carcinosarcoma
21249,PAZOPANIB,Uterine Carcinosarcoma
21250,PAZOPANIB,uterine sarcoma
21251,IMATINIB,Uterine Carcinosarcoma
21252,METFORMIN,cervical cancer
21253,COPANLISIB,Endometrial Undifferentiated Carcinoma
21254,DOCETAXEL,endometrial cancer
21256,BUPARLISIB,endometrial cancer
21257,METFORMIN,endometrial cancer
21258,ALVOCIDIB,endometrial cancer
21260,NINTEDANIB,endometrial cancer
21261,CELECOXIB,Cervical Intraepithelial Neoplasia Grade 2/3
21265,PACLITAXEL,endometrial carcinoma
21267,IXABEPILONE,uterine leiomyosarcoma
21268,IXABEPILONE,uterine sarcoma
21269,PACLITAXEL,uterine cancer
21270,IXABEPILONE,endometrium adenocarcinoma
21271,SEMAXANIB,cervical cancer
21272,ANLOTINIB,endometrial cancer
21273,IXABEPILONE,Endometrial Clear Cell Adenocarcinoma
21274,MIRVETUXIMAB SORAVTANSINE,endometrial cancer
21275,LAPATINIB,endometrial carcinoma
21277,COPANLISIB,Endometrial Serous Adenocarcinoma
21280,DOCETAXEL,cervical adenocarcinoma
21281,RUCAPARIB,endometrial cancer
21285,BEVACIZUMAB,endometrial cancer
21289,UPROSERTIB,cervical cancer
21291,METFORMIN,cervical adenocarcinoma
21294,FULVESTRANT,endometrium adenocarcinoma
21296,PILARALISIB,endometrial cancer
21297,MIRVETUXIMAB SORAVTANSINE,Endometrial Serous Adenocarcinoma
21306,PAZOPANIB,cervical cancer
21307,IMATINIB,uterine sarcoma
21309,EVEROLIMUS,endometrial cancer
21315,NINTEDANIB,cervical adenocarcinoma
21318,MIRVETUXIMAB SORAVTANSINE,Endometrial Clear Cell Adenocarcinoma
21319,ABEMACICLIB,endometrial cancer
21321,DOCETAXEL,uterine sarcoma
21322,AVELUMAB,endometrial cancer
21324,DACTOLISIB,endometrial cancer
21328,DOCETAXEL,endometrium adenocarcinoma
21331,SUNITINIB,uterine leiomyosarcoma
21334,PEMETREXED,cervical cancer
21337,ABEMACICLIB,endometrium adenocarcinoma
21338,AXITINIB,endometrial cancer
21340,OLAPARIB,cervical cancer
21342,VINORELBINE,cervical cancer
21350,ZOLEDRONIC ACID,cervical adenocarcinoma
21352,BEVACIZUMAB,Endometrial Serous Adenocarcinoma
21353,IXABEPILONE,Uterine Carcinosarcoma
21356,ERIBULIN,cervical cancer
21360,CABOZANTINIB,uterine sarcoma
21364,GEMCITABINE,endometrial cancer
21365,FILGRASTIM,cervical cancer
21367,CELECOXIB,uterine cancer
21370,AFLIBERCEPT,endometrial carcinoma
21373,BUPARLISIB,cervical cancer
21376,THALIDOMIDE,uterine leiomyosarcoma
21379,MIFEPRISTONE,endometrial cancer
21381,GEMCITABINE,Endometrial Clear Cell Adenocarcinoma
21384,TAMOXIFEN,endometrial carcinoma
21391,NIRAPARIB,endometrial cancer
21395,CABOZANTINIB,endometrial carcinoma
21396,THALIDOMIDE,Uterine Carcinosarcoma
21398,CRIZOTINIB,endometrial cancer
21399,IPILIMUMAB,Uterine Carcinosarcoma
21400,ATEZOLIZUMAB,cervical cancer
21405,RIVOCERANIB,cervical carcinoma
21407,CABOZANTINIB,Uterine Carcinosarcoma
21408,CEDIRANIB,cervical cancer
21409,LETROZOLE,endometrial cancer
21410,APITOLISIB,endometrial carcinoma
21414,PEMBROLIZUMAB,endometrial cancer
21415,ASPIRIN,endometrial cancer
21420,PAZOPANIB,uterine leiomyosarcoma
21429,DOVITINIB,endometrial cancer
21430,ISOTRETINOIN,cervical cancer
21431,ERGOCALCIFEROL,cervical cancer
21434,SORAFENIB,uterine sarcoma
21438,CETUXIMAB,cervical cancer
21440,RUCAPARIB,cervical cancer
21441,LETROZOLE,uterine cancer
21447,GEMCITABINE,uterine sarcoma
21451,IXABEPILONE,Endometrial Serous Adenocarcinoma
21457,NIVOLUMAB,endometrial carcinoma
21458,SAMOTOLISIB,endometrial cancer
21468,PALBOCICLIB,endometrial cancer
21476,PEGINTERFERON ALFA-2B,cervical cancer
21491,TALAZOPARIB,endometrial cancer
21505,MK-2206,endometrial cancer
21507,RUCAPARIB,Uterine Carcinosarcoma
21508,ADAVOSERTIB,Endometrial Serous Adenocarcinoma
21513,ASPIRIN,cervical cancer
21520,CETUXIMAB,cervical carcinoma
21534,CABOZANTINIB,cervical cancer
21537,ROSUVASTATIN,endometrial carcinoma
21541,SELUMETINIB,Endometrial Clear Cell Adenocarcinoma
21555,PEMBROLIZUMAB,endometrium adenocarcinoma
21561,OLAPARIB,uterine leiomyosarcoma
21577,PEMETREXED,endometrial cancer
21580,TEMSIROLIMUS,Endometrial Serous Adenocarcinoma
21606,LENVATINIB,endometrial cancer
21621,ATEZOLIZUMAB,Uterine Carcinosarcoma
21630,BEVACIZUMAB,Endometrial Clear Cell Adenocarcinoma
21635,PEMBROLIZUMAB,cervical carcinoma
21656,OLAPARIB,endometrial carcinoma
21658,CETUXIMAB,endometrial cancer
21663,FULVESTRANT,endometrial carcinoma
21665,DOCETAXEL,Uterine Carcinosarcoma
21682,DIPHENHYDRAMINE,endometrial cancer
21692,TRASTUZUMAB,endometrial cancer
21695,CAPECITABINE,cervical cancer
21700,BEVACIZUMAB,Uterine Carcinosarcoma
21702,GEFITINIB,cervical cancer
21711,DEXAMETHASONE,endometrial cancer
21712,NIRAPARIB,cervical carcinoma
21717,IRINOTECAN,cervical adenocarcinoma
21736,LETROZOLE,cervical adenocarcinoma
21739,TAMOXIFEN,cervical adenocarcinoma
21748,IPILIMUMAB,uterine leiomyosarcoma
21756,TEMSIROLIMUS,Endometrial Clear Cell Adenocarcinoma
21759,CELECOXIB,uterine cervix carcinoma in situ
21762,IMIQUIMOD,cervical carcinoma
21777,TRASTUZUMAB,endometrium adenocarcinoma
21787,RIVOCERANIB,cervical cancer
21800,DOXORUBICIN,cervical cancer
21809,EPACADOSTAT,endometrial carcinoma
21822,TEMSIROLIMUS,endometrial carcinoma
21827,TEMSIROLIMUS,Uterine Carcinosarcoma
21836,LAPATINIB,cervical cancer
21841,ERLOTINIB,endometrial cancer
21842,NIRAPARIB,endometrial carcinoma
21845,TEMSIROLIMUS,uterine sarcoma
21851,NIVOLUMAB,cervical cancer
21886,ARSENIC TRIOXIDE,cervical cancer
21887,EPACADOSTAT,endometrial cancer
21897,CABOZANTINIB,uterine leiomyosarcoma
21900,NIMOTUZUMAB,cervical carcinoma
21917,NIVOLUMAB,uterine leiomyosarcoma
21919,ERGOCALCIFEROL,endometrial cancer
21933,TOPOTECAN,endometrial cancer
21935,BORTEZOMIB,cervical cancer
21945,BEVACIZUMAB,endometrial carcinoma
21952,IRINOTECAN,cervical cancer
21958,NIVOLUMAB,Uterine Carcinosarcoma
21964,EVEROLIMUS,uterine cancer
21977,PEMBROLIZUMAB,endometrial carcinoma
21982,ADAVOSERTIB,uterine cancer
22003,IMIQUIMOD,cervical cancer
22008,ARSENIC TRIOXIDE,endometrial carcinoma
22026,PANITUMUMAB,cervical cancer
22063,IMATINIB,endometrial cancer
22064,CAPIVASERTIB,endometrial cancer
22065,VATALANIB,endometrial cancer
22066,CAPIVASERTIB,endometrium adenocarcinoma
22067,PACLITAXEL,endometrial mixed adenocarcinoma
22068,PACLITAXEL,Endometrial Mucinous Adenocarcinoma
22069,UCN-01,cervical cancer
22070,CEDIRANIB,endometrial cancer
22071,PACLITAXEL,Endometrial Undifferentiated Carcinoma
22072,BEVACIZUMAB,endometrial mixed adenocarcinoma
22074,UCN-01,endometrial carcinoma
22075,TANESPIMYCIN,uterine sarcoma
22076,OLAPARIB,endometrium adenocarcinoma
22078,VINORELBINE,endometrial cancer
22080,IRINOTECAN,endometrial carcinoma
22081,PACLITAXEL,cervical adenosarcoma
22082,SORAFENIB,cervical carcinoma
22086,CAPIVASERTIB,cervical cancer
22088,VATALANIB,cervical cancer
22091,ERLOTINIB,cervical cancer
22092,DS-7423,endometrial cancer
22096,LAPATINIB,endometrial cancer
22098,OLAPARIB,endometrial cancer
22101,BOSUTINIB,cervical cancer
22110,BEVACIZUMAB,Endometrial Undifferentiated Carcinoma
22112,PACLITAXEL,cervical carcinosarcoma
22118,ADAVOSERTIB,cervical cancer
22128,INFIGRATINIB,cervical carcinoma
22132,IMATINIB,uterine cancer
22133,VISTUSERTIB,endometrial carcinoma
22136,TRASTUZUMAB,cervical cancer
22137,TEMSIROLIMUS,cervical cancer
22146,ZOLEDRONIC ACID,cervical cancer
22153,BEVACIZUMAB,cervical adenosarcoma
22168,IPATASERTIB,endometrial cancer
22172,ANASTROZOLE,endometrial cancer
22173,EVEROLIMUS,cervical cancer
22174,CELECOXIB,cervical cancer
22179,SARGRAMOSTIM,endometrial cancer
22185,OLAPARIB,Endometrial Serous Adenocarcinoma
22189,IRINOTECAN,cervical carcinoma
22210,IPILIMUMAB,cervical carcinoma
22213,VISTUSERTIB,endometrium adenocarcinoma
22217,TEMSIROLIMUS,endometrial cancer
22221,BEVACIZUMAB,Endometrial Mucinous Adenocarcinoma
22225,IMIQUIMOD,Cervical Intraepithelial Neoplasia Grade 2/3
22234,NIVOLUMAB,cervical carcinoma
22241,BEVACIZUMAB,cervical carcinosarcoma
22244,CELECOXIB,cervical adenocarcinoma
22250,TOPOTECAN,cervical carcinoma
22254,ANASTROZOLE,endometrial carcinoma
22256,PEMBROLIZUMAB,uterine cancer
22260,IPILIMUMAB,endometrial carcinoma
22272,TRASTUZUMAB,endometrial carcinoma
22276,FLUOROURACIL,Cervical Intraepithelial Neoplasia Grade 2/3
22277,DASATINIB,endometrial cancer
22288,ATORVASTATIN,endometrial cancer
